Tên điện thoại,Màn hình rộng:,Chuẩn màn hình:,Camera sau,Camera trước,Hệ điều hành:,Chip xử lý (CPU):,RAM:,Dung lượng lưu trữ:,Dung lượng pin:,SIM:,Độ phân giải:,Giá tiền,Link
OPPO Reno8 Pro 5G,"6.7"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 8 MP, 2 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quay video hiển thị képQuay chậm (Slow Motion)Nhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)                                                    Chụp đêmBộ lọc màu                                                    A.I Camera'}",Android 12,MediaTek Dimensity 8100 Max 8 nhân,12 GB,256 GB,4500 mAh,2 Nano SIM,Full HD+ (1080 x 2412 Pixels),18.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno8-pro?utm_flashsale=1
OPPO Find N3 5G,"Chính 7.82"" & Phụ 6.31"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 48 MP & Phụ 48 MP, 64 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@480fpsHD 720p@30fpsHD 720p@240fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@240fps4K 2160p@60fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Ảnh RawZoom quang họcZoom kỹ thuật sốXóa phôngXPAN                                                    Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quét mã QR                                                    Quay video hiển thị képQuay chậm (Slow Motion)Phơi sángNhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)Google LensFlexCam                                                    Chụp hẹn giờ                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': 'Trong: 20 MP & Ngoài: 32 MP', 'Tính năng:': 'Xóa phôngVideo hiển thị kép                                                    Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDQuay video 4KNhãn dán (AR Stickers)Làm đẹpHDRFlash màn hìnhChụp đêmChụp hẹn giờ                                                    Chống rungBộ lọc màu'}",Android 13,Snapdragon 8 Gen 2 8 nhân,16 GB,512 GB,4805 mAh,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,Chính: 2K+ (2268 x 2440 Pixels) & Phụ: FHD+ (1116 x 2484 Pixels),41.990.000₫,https://www.thegioididong.com/dtdd/oppo-find-n3
Samsung Galaxy Z Fold5 5G,"Chính 7.6"" & Phụ 6.2"" - Tần số quét 120 Hz",Dynamic AMOLED 2X,"{'Độ phân giải:': 'Chính 50 MP & Phụ 12 MP, 10 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps8K 4320p@30fps4K 2160p@60fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay Siêu chậm (Super Slow Motion)Quay chậm (Slow Motion)Làm đẹpHiệu ứng BokehHDRGóc siêu rộng (Ultrawide)Góc rộng (Wide)FlexCam                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '10 MP & 4 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video Full HDQuay video 4KQuay chậm (Slow Motion)Làm đẹpGóc rộng (Wide)FlexCam                                                    Chụp đêmChuyên nghiệp (Pro)                                                    Bộ lọc màu'}",Android 13,Snapdragon 8 Gen 2 for Galaxy,12 GB,256 GB,4400 mAh,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,Chính: QXGA+ (2176 x 1812 Pixels) & Phụ: HD+ (2316 x 904 Pixels),40.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold5
OPPO Find N3 Flip 5G,"Chính 6.8"" & Phụ 3.26"" - Tần số quét Chính: 120 Hz & Phụ: 60 Hz",AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 48 MP, 32 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@480fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@240fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Ảnh RawZoom quang họcZoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuét tài liệu                                                    Quét mã QR                                                    Quay chậm (Slow Motion)Phơi sángNhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)Google LensChụp hẹn giờ                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDQuay video 4KNhãn dán (AR Stickers)Làm đẹpHDRGóc rộng (Wide)Chụp đêmChống rungBộ lọc màu'}",Android 13,MediaTek Dimensity 9200 5G 8 nhân,12 GB,256 GB,4300 mAh,2 Nano SIM,Chính: FHD+ (1080 x 2520 Pixels) & Phụ: SD (382 x 720 Pixels),22.990.000₫,https://www.thegioididong.com/dtdd/oppo-find-n3-flip
iPhone 14 Plus,"6.7"" - Tần số quét 60 Hz",OLED,"{'Độ phân giải:': '2 camera 12 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@60fps4K 2160p@30fps4K 2160p@24fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Smart HDR 4                                                    Quay chậm (Slow Motion)Live Photo                                                    Góc siêu rộng (Ultrawide)Góc rộng (Wide)Deep FusionCinematicChống rung quang học (OIS)Chế độ hành động (Action Mode)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '12 MP', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Smart HDR 4                                                    Retina FlashQuay video Full HDQuay video 4KQuay chậm (Slow Motion)Live Photo                                                    Cinematic                                                    Chụp đêmBộ lọc màu'}",iOS 16,Apple A15 Bionic 6 nhân,6 GB,128 GB,4325 mAh,1 Nano SIM & 1 eSIM,Super Retina XDR (1284 x 2778 Pixels),20.090.000₫ *,https://www.thegioididong.com/dtdd/iphone-14-plus
iPhone 14,"6.1"" - Tần số quét 60 Hz",OLED,"{'Độ phân giải:': '2 camera 12 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@60fps4K 2160p@30fps4K 2160p@24fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Smart HDR 4                                                    Quay Siêu chậm (Super Slow Motion)Quay chậm (Slow Motion)Live Photo                                                    Góc siêu rộng (Ultrawide)Góc rộng (Wide)Deep FusionCinematicChống rung quang học (OIS)Chế độ hành động (Action Mode)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '12 MP', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Smart HDR 4                                                    Retina FlashQuay video Full HDQuay video 4KQuay chậm (Slow Motion)Live Photo                                                    Cinematic                                                    Chụp đêmBộ lọc màu'}",iOS 16,Apple A15 Bionic 6 nhân,6 GB,128 GB,3279 mAh,1 Nano SIM & 1 eSIM,Super Retina XDR (1170 x 2532 Pixels),từ                    17.590.000₫ *,https://www.thegioididong.com/dtdd/iphone-14
Samsung Galaxy Z Flip5 5G,"Chính 6.7"" & Phụ 3.4"" - Tần số quét Chính: 120 Hz & Phụ: 60 Hz","Chính: Dynamic AMOLED 2X, Phụ: Super AMOLED","{'Độ phân giải:': '2 camera 12 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@60fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay Siêu chậm (Super Slow Motion)Quay chậm (Slow Motion)Làm đẹpGóc siêu rộng (Ultrawide)Góc rộng (Wide)FlexCam                                                    Chống rung quang học (OIS)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '10 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDQuay video 4KQuay chậm (Slow Motion)Góc siêu rộng (Ultrawide)                                                    Góc rộng (Wide)FlexCam                                                    Chụp đêmBộ lọc màu'}",Android 13,Snapdragon 8 Gen 2 for Galaxy,8 GB,256 GB,3700 mAh,1 Nano SIM & 1 eSIM,Chính: FHD+ (2640 x 1080 Pixels) x Phụ: HD+ (720 x 748 Pixels),21.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip5
OPPO Find N2 Flip 5G,"Chính 6.8"" & Phụ 3.26"" - Tần số quét 120 Hz & 60 Hz",AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 8 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuay chậm (Slow Motion)Nhãn dán (AR Stickers)Làm đẹpHDRChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Chụp đêmBộ lọc màu                                                    A.I Camera'}",Android 13,MediaTek Dimensity 9000+ 8 nhân,8 GB,256 GB,4300 mAh,2 Nano SIM,Chính: FHD+ (2520 x 1080 Pixels) & Phụ: (720 x 382 Pixels),18.990.000₫,https://www.thegioididong.com/dtdd/oppo-find-n2-flip?utm_flashsale=1
realme 11 Pro+ 5G,"6.7"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 200 MP & Phụ 8 MP, 2 MP', 'Quay phim:': 'HD 720p@960fpsHD 720p@60fpsHD 720p@30fpsHD 720p@240fpsFullHD 1080p@60fpsFullHD 1080p@480fpsFullHD 1080p@30fpsFullHD 1080p@120fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu trăng                                                    Siêu cận (Macro)Quay video hiển thị képQuay thiên vănQuay chậm (Slow Motion)Phơi sángLấy nét theo pha (PDAF)Làm đẹpHDRGóc siêu rộng (Ultrawide)Google LensCinematicChống rung điện tử kỹ thuật số (EIS)Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngToàn cảnh (Panorama)Quay video HDQuay video Full HDNhận diện khuôn mặtLàm đẹp A.IGóc rộng (Wide)Chụp đêmBộ lọc màu'}",Android 13,MediaTek Dimensity 7050 5G 8 nhân,12 GB,512 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2412 Pixels),13.490.000₫ *,https://www.thegioididong.com/dtdd/realme-11-pro-plus-5g
Xiaomi 13T Pro 5G,"6.67"" - Tần số quét 144 Hz",AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 50 MP, 12 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps8K 4320p@24fps4K 2160p@60fps4K 2160p@30fps4K 2160p@24fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Ảnh RawZoom kỹ thuật sốXiaomi ProCut                                                    Video chuyên nghiệp                                                    Tự động lấy nét (AF)Toàn cảnh (Panorama)Siêu độ phân giảiQuét tài liệu                                                    Quay chậm (Slow Motion)Phơi sángHDRGóc siêu rộng (Ultrawide)Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)Xiaomi ProFocus'}","{'Độ phân giải:': '20 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDQuay chậm (Slow Motion)Làm đẹpHDRChụp đêmChụp hẹn giờ                                                    Bộ lọc màu'}",Android 13,MediaTek Dimensity 9200+ 5G 8 nhân,12 GB,256 GB,5000 mAh,2 Nano SIM,1.5K (1220 x 2712 Pixels),14.490.000₫,https://www.thegioididong.com/dtdd/xiaomi-13t-pro?utm_flashsale=1
vivo V29 5G,"6.78"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 8 MP, 2 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu trăng                                                    Quét tài liệu                                                    Quay video hiển thị képQuay thiên vănQuay chậm (Slow Motion)Làm đẹpLive Photo                                                    HDRGóc siêu rộng (Ultrawide)Góc rộng (Wide)Google LensChụp sao                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '50 MP', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Quay video Full HDLàm đẹpHDRGóc siêu rộng (Ultrawide)                                                    Góc rộng (Wide)Chụp đêmChụp hẹn giờ                                                    Bộ lọc màu'}",Android 13,Snapdragon 778G 5G 8 nhân,12 GB,256 GB,4600 mAh,2 Nano SIM,1.5K (1260 x 2800 Pixels),12.990.000₫,https://www.thegioididong.com/dtdd/vivo-v29-5g
Samsung Galaxy M54 5G,"6.7"" - Tần số quét 120 Hz",Super AMOLED Plus,"{'Độ phân giải:': 'Chính 108 MP & Phụ 8 MP, 2 MP', 'Quay phim:': 'HD 720p@240fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu cận (Macro)Quay Siêu chậm (Super Slow Motion)Quay chậm (Slow Motion)Hiệu ứng BokehGóc siêu rộng (Ultrawide)Góc rộng (Wide)Chống rung quang học (OIS)Chuyên nghiệp (Pro)Ban đêm (Night Mode)'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Quay video Full HDQuay video 4KLàm đẹp'}",Android 13,Exynos 1380 8 nhân,8 GB,256 GB,6000 mAh,2 Nano SIM (SIM 2 chung khe thẻ nhớ),Full HD+ (1080 x 2400 Pixels),10.490.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-m54
vivo V25 Pro 5G,"6.56"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 64 MP & Phụ 8 MP, 2 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@60fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quay video hiển thị képQuay chậm (Slow Motion)Làm đẹpHiệu ứng BokehHDRGóc siêu rộng (Ultrawide)Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngQuay video HDQuay video Full HDPhơi sáng kép                                                    Nhãn dán (AR Stickers)Làm đẹpLive Photo                                                    HDRChụp đêmBộ lọc màu                                                    A.I Camera'}",Android 12,MediaTek Dimensity 1300 8 nhân,8 GB,128 GB,4830 mAh,2 Nano SIM,Full HD+ (1080 x 2376 Pixels),,https://www.thegioididong.com/dtdd/vivo-v25-pro-5g?utm_flashsale=1
realme 11 Pro 5G,"6.7"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 100 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@120fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuay video hiển thị képQuay chậm (Slow Motion)Phơi sángLấy nét theo pha (PDAF)Làm đẹpHDRGoogle LensChụp sao                                                    Chống rung điện tử kỹ thuật số (EIS)Chống rung quang học (OIS)Chân dung nhóm                                                    Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '16 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhận diện khuôn mặtLàm đẹpHDRChụp đêmChống rungBộ lọc màu'}",Android 13,MediaTek Dimensity 7050 5G 8 nhân,8 GB,256 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2412 Pixels),10.990.000₫,https://www.thegioididong.com/dtdd/realme-11-pro?utm_flashsale=1
vivo V29e 5G 12GB,"6.67"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 64 MP & Phụ 8 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu trăng                                                    Quét tài liệu                                                    Quay video hiển thị képQuay chậm (Slow Motion)Phơi sáng kép                                                    Làm đẹpHDRGóc siêu rộng (Ultrawide)Google LensChụp ảnh chuyển động                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '50 MP', 'Tính năng:': 'Xóa phôngQuay video HDQuay video Full HDPhơi sáng kép                                                    Làm đẹpHDRFlash màn hìnhChụp ảnh chuyển động                                                    Chụp đêmBộ lọc màu'}",Android 13,Snapdragon 695 5G 8 nhân,12 GB,256 GB,4800 mAh,2 Nano SIM,Full HD+ (1080 x 2400 Pixels),9.690.000₫,https://www.thegioididong.com/dtdd/vivo-v29e-5g
Xiaomi 13T 5G,"6.67"" - Tần số quét 144 Hz",AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 50 MP, 12 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Ảnh RawZoom kỹ thuật sốXóa phôngXiaomi ProCut                                                    Video chuyên nghiệp                                                    Tự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuét tài liệu                                                    Quay video ban đêm                                                    Quay chậm (Slow Motion)Phơi sángHiệu ứng BokehHDRGóc siêu rộng (Ultrawide)Google LensChụp hẹn giờ                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI CameraXiaomi ProFocus'}","{'Độ phân giải:': '20 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDQuay video ban đêm                                                    Quay chậm (Slow Motion)Làm đẹpHiệu ứng Bokeh                                                    HDRFlash màn hìnhChụp đêmChụp hẹn giờ'}",Android 13,MediaTek Dimensity 8200-Ultra,12 GB,256 GB,5000 mAh,2 Nano SIM,1.5K (1220 x 2712 Pixels),11.490.000₫,https://www.thegioididong.com/dtdd/xiaomi-13t-12gb
vivo V27e,"6.62"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 64 MP & Phụ 2 MP, 2 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quay video hiển thị képQuay chậm (Slow Motion)Phơi sáng kép                                                    Làm đẹpLive Photo                                                    HDRChống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngQuay video HDQuay video Full HDPhơi sáng kép                                                    Live Photo                                                    HDRChụp đêmBộ lọc màu'}",Android 13,MediaTek Helio G99 8 nhân,8 GB,256 GB,4600 mAh,2 Nano SIM,Full HD+ (1080 x 2400 Pixels),8.990.000₫,https://www.thegioididong.com/dtdd/vivo-v27e
OPPO A98 5G,"6.72"" - Tần số quét 120 Hz",LTPS LCD,"{'Độ phân giải:': 'Chính 64 MP & Phụ 2 MP, 2 MP', 'Quay phim:': 'HD 720p@30fpsHD 720p@120fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quay video hiển thị képQuay chậm (Slow Motion)Nhãn dán (AR Stickers)Làm đẹpHiển vi                                                    HDRGoogle LensChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹpChụp đêm'}",Android 13,Snapdragon 695 5G 8 nhân,8 GB,256 GB,5000 mAh,2 Nano SIM (SIM 2 chung khe thẻ nhớ),Full HD+ (1080 x 2400 Pixels),8.290.000₫,https://www.thegioididong.com/dtdd/oppo-a98-5g
Samsung Galaxy A54 5G,"6.4"" - Tần số quét 120 Hz",Super AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 12 MP, 5 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu cận (Macro)Quay Siêu chậm (Super Slow Motion)Quay chậm (Slow Motion)Làm đẹpHDRGóc siêu rộng (Ultrawide)Góc rộng (Wide)Chống rung quang học (OIS)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDQuay video 4KQuay chậm (Slow Motion)Làm đẹpGóc siêu rộng (Ultrawide)                                                    Góc rộng (Wide)Chụp đêmBộ lọc màu'}",Android 13,Exynos 1380 8 nhân,8 GB,128 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2340 Pixels),9.290.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a54-5g-128gb
OPPO Reno8 T 5G,"6.7"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 108 MP & Phụ 2 MP, 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuay video hiển thị képQuay chậm (Slow Motion)Nhãn dán (AR Stickers)Làm đẹpHiển vi                                                    HDRGoogle LensChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹpHDRChụp đêmBộ lọc màu'}",Android 13,Snapdragon 695 5G 8 nhân,8 GB,128 GB,4800 mAh,2 Nano SIM (SIM 2 chung khe thẻ nhớ),Full HD+ (1080 x 2412 Pixels),8.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno8-t-5g?utm_flashsale=1
